"First Row: Number of Stations. Section 1: Station Name, Usage, X-coordinate, Y-coordinate. Section 2 (Edges): Station A Name, Station B Name. NOTE: Omitted Mass Ave on Silver Line (repeat name), also St Paul's St on C-line",,,,,
299,,,,,
Maraichers,2807675,2406990230,4885285088,,
MarcadetPoissonniers,6388263,2350028157,4889036876,,
MarcelSembat,5916640,2243579328,4883367001,,
MarxDormoy,3708018,2359909000,4889121300,,
MaubertMutualite,2480448,2347936034,4885019290,,
Menilmontant,4472755,2383618000,4886624800,,
MichelAngeAuteuil,2172312,2263870239,4884777129,,
MichelAngeMolitor,2091229,2261194000,4884496000,,
MichelBizot,0,2401234210,4883748523,,
Mirabeau,1390817,2271707654,4884673872,,
Miromesnil,5841806,2314464748,4887366684,,
Monceau,1662955,2308603000,4888031900,,
Montgallet,1823041,2389974000,4884427600,,
MontparnasseBienvenue,31553833,2323072000,4884346600,,
MoutonDuvernet,1752336,2330325000,4883213900,,
Nation,9333662,2395800000,4884838900,,
Nationale,2614523,2362717688,4883318272,,
NotreDamedeLorette,3002608,2337341309,4887603956,,
NotreDamedesChamps,2058675,2328787744,4884456761,,
Oberkampf,3133981,2368877000,4886454500,,
Odeon,6059691,2338951000,4885206600,,
Olympiades,7000540,2368280590,4882726240,,
Opera,12288027,2332352400,4887063595,,
Ourcq,3930609,2385747000,4888685600,,
PalaisRoyalMuseeduLouvre,7448640,2336578000,4886264400,,
Parmentier,3455199,2374381000,4886529900,,
Passy,3366482,2285779000,4885744500,,
Pasteur,4655655,2312681079,4884283594,,
Pelleport,382266,2401751876,4886867053,,
Pereire,4711045,2299211000,4888464800,,
PereLachaise,4932986,2387388000,4886292100,,
Pernety,3282156,2318512201,4883421027,,
PhilippeAuguste,1883838,2390938000,4885802100,,
Picpus,1346859,2400493920,4884515011,,
PierreetMarieCurie,1406411,2377893627,4881591773,,
Pigalle,6176020,2337573000,4888225500,,
PlacedeClichy,9346342,2327625000,4888380900,,
PlacedesFetes,3180164,2392959595,4887684044,,
Placed'Italie,11542761,2355692000,4883148300,,
PlaceMonge,2973319,2352279000,4884359000,,
Plaisance,4821682,2313740551,4883155306,,
Poissonniere,3569568,2348445654,4887707506,,
PontdeLevalloisBecon,5033694,2280787000,4889731300,,
PontdeNeuilly,6823045,2259775000,4888496800,,
PontdeSevres,4701284,2231034636,4882974679,,
PontMarie,1695690,2357616127,4885328680,,
PontNeuf,1886611,2341488000,4885867600,,
PorteDauphine,2894665,2276768000,4887154500,,
Ported'Auteuil,682814,2258750000,4884802500,,
PortedeBagnolet,4495023,2407278000,4886456500,,
PortedeChamperret,3595140,2293487000,4888585100,,
PortedeCharenton,1902697,2400400043,4883278016,,
PortedeChoisy,3088532,2365292609,4882031533,,
PortedeClichy,4094794,2313652039,4889434542,,
PortedeClignancourt,8663554,2344945371,4889703632,,
PortedelaChapelle,2939078,2359190583,4889727437,,
PortedelaVillette,3583870,2385875881,4889708922,,
PortedeMontreuil,4906785,2412244678,4885379155,,
PortedePantin,4749922,2391814291,4888847113,,
PortedeSaintCloud,5291193,2256956000,4883808200,,
PortedeSaintOuen,3776345,2328709960,4889677359,,
PortedesLilas,3627528,2406655000,4887718300,,
PortedeVanves,4410283,2305884361,4882794045,,
PortedeVersailles,6424182,2287841000,4883232800,,
PortedeVincennes,6398167,2407759000,4884732600,,
Ported'Italie,2432555,2360805000,4881919600,,
Ported'Ivry,1869444,2370439768,4882095992,,
PorteDoree,2822951,2406099737,4883548144,,
Ported'Orleans,6848088,2325363000,4882319000,,
PorteMaillot,9089205,2281925000,4887794600,,
PreSaintGervais,350959,2398914099,4888025020,,
Pyramides,5096769,2334669828,4886587224,,
Pyrenees,3404189,2385259000,4887387500,,
QuaidelaGare,3366405,2372773000,4883706900,,
QuaidelaRapee,1197619,2365826000,4884653900,,
QuatreSeptembre,1850860,2336633000,4886957400,,
Rambuteau,4429945,2353905000,4886195100,,
Ranelagh,2383384,2269634306,4885501987,,
Raspail,1819535,2330606282,4883919413,,
ReaumurSebastopol,5326171,2352388501,4886624629,,
Rennes,1272544,2327763140,4884819314,,
Republique,18224965,2363811000,4886750300,,
ReuillyDiderot,5808594,2386447000,4884701400,,
RichardLenoir,1999612,2371843000,4885977200,,
RichelieuDrouot,4114054,2338741422,4887198735,,
Riquet,2452712,2373578000,4888788000,,
Robespierre,4394418,2423678000,4885568300,,
Rome,2892744,2322052000,4888242500,,
RuedelaPompe,3093242,2279051542,4886391193,,
RuedesBoulets,2693345,2390151322,4885181135,,
RueduBac,2529823,2325606644,4885569049,,
RueSaintMaur,6302437,2379448000,4886433500,,
SaintAmbroise,2877583,2374210954,4886129512,,
SaintAugustin,2947957,2322133183,4887444130,,
SaintDenisPortedeParis,3041907,2357769012,4893021104,,
SaintDenisUniversite,5261145,2364000000,4894600000,,
SaintFargeau,823762,2404519916,4887208261,,
SaintFrancoisXavier,1797081,2314475477,4885195078,,
SaintGeorges,1286815,2337381542,4887844922,,
SaintGermaindesPres,4443897,2333280444,4885377390,,
SaintJacques,2030314,2337081000,4883291300,,
